key,Name,Address,Price,Opened,Died
"Taqueria El Pastorcito_4427 Hollister Ave, Goleta",Taqueria El Pastorcito,"4427 Hollister Ave, Goleta",NA,2016-02,NA
"Boondocks_4444 Hollister Ave, Santa Barbara",Boondocks,"4444 Hollister Ave, Santa Barbara",NA,2016-01,2016-02
"Gandolfo’s New York Delicatessen_718 State St, Santa Barbara",Gandolfo’s New York Delicatessen,"718 State St, Santa Barbara",< $10,2016-01,2016-10
"Nothing Bundt Cakes_5784 Calle Real, Goleta",Nothing Bundt Cakes,"5784 Calle Real, Goleta",NA,2016-01,NA
Home Plate Grill_7398 Calle Real Goleta,Home Plate Grill,7398 Calle Real Goleta,NA,2016-01,NA
"Choi’s Oriental Market & Korean Restaurant_185 S Patterson Ave # D,",Choi’s Oriental Market & Korean Restaurant,"185 S Patterson Ave # D,",NA,2016-01,NA
"Wake Cup_901 Embarcadero del Mar, Isla Vista",Wake Cup,"901 Embarcadero del Mar, Isla Vista",NA,2016-01,2019-11
"Fernando's Churros & Restaurant_316 N. Milpas St (in the back), Santa Barbara",Fernando's Churros & Restaurant,"316 N. Milpas St (in the back), Santa Barbara",NA,2015-12,NA
"Sachi Ramen_721 Chapala St, Santa Barbara",Sachi Ramen,"721 Chapala St, Santa Barbara",NA,2015-12,NA
"High Sierra Grill & Bar_521 Firestone Rd, Goleta",High Sierra Grill & Bar,"521 Firestone Rd, Goleta",NA,2015-12,2019-08
"Lure Fish House_3815 State St, Santa Barbara",Lure Fish House,"3815 State St, Santa Barbara",NA,2015-12,NA
"Stone Age Restaurant_415 N. Milpas St, Santa Barbara",Stone Age Restaurant,"415 N. Milpas St, Santa Barbara",NA,2015-12,2019-10
"Smart & Final Extra!_7090 Hollister Ave, Goleta",Smart & Final Extra!,"7090 Hollister Ave, Goleta",NA,2015-12,NA
"Wildwood Kitchen_412 East Haley St, Santa Barbara",Wildwood Kitchen,"412 East Haley St, Santa Barbara",NA,2015-12,2018-11
"Tamales-To-Go_20 East Cota St (in the back), Santa Barbara",Tamales-To-Go,"20 East Cota St (in the back), Santa Barbara",NA,2015-11,2016-02
"805 Boba_213 Paseo Nuevo, Santa Barbara",805 Boba,"213 Paseo Nuevo, Santa Barbara",NA,2015-11,NA
"Subway - Mission & State_1936 State St, Santa Barbara",Subway - Mission & State,"1936 State St, Santa Barbara",NA,2015-11,2018-05
"China King_5915B Calle Real, Goleta",China King,"5915B Calle Real, Goleta",NA,2015-11,NA
"Zizzo’s Caffe & Brew Pub (inside Ice in Paradise)_6985 Santa Felicia Dr, Goleta",Zizzo’s Caffe & Brew Pub (inside Ice in Paradise),"6985 Santa Felicia Dr, Goleta",NA,2015-10,NA
"Bree'osh Cafe & Bakery_1150 Coast Village Rd, Ste E",Bree'osh Cafe & Bakery,"1150 Coast Village Rd, Ste E",NA,2015-10,NA
"Nectar_20 E. Cota St, Santa Barbara",Nectar,"20 E. Cota St, Santa Barbara",NA,2015-10,2018-01
"Kimchi Korean Restaurant_3132 State St, Santa Barbara",Kimchi Korean Restaurant,"3132 State St, Santa Barbara",NA,2015-10,NA
"Lucky Dragon_6831 Hollister Ave, Goleta",Lucky Dragon,"6831 Hollister Ave, Goleta",NA,2015-10,NA
"Caffe Primo_516 State St, Santa Barbara",Caffe Primo,"516 State St, Santa Barbara",NA,2015-10,2017-01
"Kol's Cafe_6533 Trigo Rd, Isla Vista",Kol's Cafe,"6533 Trigo Rd, Isla Vista",NA,2015-09,2017-03
"On the Alley_7038 Marktplace Dr, Goleta",On the Alley,"7038 Marktplace Dr, Goleta",NA,2015-09,NA
"Borrello’s Pizza and Pastaria_3807 Santa Claus Lane, Carpinteria",Borrello’s Pizza and Pastaria,"3807 Santa Claus Lane, Carpinteria",NA,2015-09,NA
"Crushcakes - Goleta_5392 Hollister Ave, Goleta",Crushcakes - Goleta,"5392 Hollister Ave, Goleta",NA,2015-08,NA
"Rebar Coffee_214 State St, Santa Barbara",Rebar Coffee,"214 State St, Santa Barbara",NA,2015-08,2017-07
"The Fig Grill_5940 Calle Real, Goleta",The Fig Grill,"5940 Calle Real, Goleta",NA,2015-07,2016-01
"Nugget - Santa Barbara_21 W. Victoria St, Santa Barbara",Nugget - Santa Barbara,"21 W. Victoria St, Santa Barbara",NA,2015-07,2018-03
"Los Altos_318 N. Milpas St, Santa Barbara",Los Altos,"318 N. Milpas St, Santa Barbara",NA,2015-07,NA
"Globe_18 E. Cota St, Santa Barbara",Globe,"18 E. Cota St, Santa Barbara",NA,2015-07,2016-11
"Haggen - Upper State_3943 State St, Santa Barbara",Haggen - Upper State,"3943 State St, Santa Barbara",NA,2015-06,2015-11
"Haggen - Mesa_2010 Cliff Dr, Santa Barbara",Haggen - Mesa,"2010 Cliff Dr, Santa Barbara",NA,2015-06,2015-11
"Haggen - Carpinteria_850 Linden Ave, Carpinteria",Haggen - Carpinteria,"850 Linden Ave, Carpinteria",NA,2015-06,2015-11
"Haggen - Turnpike_163 S. Turnpike Rd, Goleta",Haggen - Turnpike,"163 S. Turnpike Rd, Goleta",NA,2015-06,2015-11
"Dawn Patrol_324 State St, Santa Barbara",Dawn Patrol,"324 State St, Santa Barbara",NA,2015-06,NA
"Yoichi’s_230 E. Victoria St, Santa Barbara",Yoichi’s,"230 E. Victoria St, Santa Barbara",NA,2015-06,NA
"I'a Fish Market and Café_38 W. Victoria St, Santa Barbara",I'a Fish Market and Café,"38 W. Victoria St, Santa Barbara",NA,2015-06,2017-03
"Crushcakes & Cafe - Montecito_1150 Coast Village Rd, Montecito",Crushcakes & Cafe - Montecito,"1150 Coast Village Rd, Montecito",NA,2015-05,2015-08
"Jersey Mike's Subs - Upper State_3325 State St, Santa Barbara",Jersey Mike's Subs - Upper State,"3325 State St, Santa Barbara",NA,2015-05,NA
"OTaco_6530 Pardall Rd, Isla Vista",OTaco,"6530 Pardall Rd, Isla Vista",NA,2015-04,2017-01
"Merci To Go_1024 Coast Village Rd, Montecito",Merci To Go,"1024 Coast Village Rd, Montecito",NA,2015-04,2017-01
"Haggen - Fairview_165 N. Fairview Ave, Goleta",Haggen - Fairview,"165 N. Fairview Ave, Goleta",NA,2015-04,2015-11
"The Mex Authentic_413 State St, Santa Barbara",The Mex Authentic,"413 State St, Santa Barbara",NA,2015-04,2017-05
"PizzaRev_12 W. De La Guerra St, Santa Barbara",PizzaRev,"12 W. De La Guerra St, Santa Barbara",NA,2015-04,NA
"Sublime_901 N. Milpas St, Santa Barbara",Sublime,"901 N. Milpas St, Santa Barbara",$10 - $20,2015-04,2015-08
"Nuance_119 State St, Santa Barbara",Nuance,"119 State St, Santa Barbara",$20+,2015-04,2016-01
"Las Brasas Mexican Grill_5915B Calle Real, Goleta",Las Brasas Mexican Grill,"5915B Calle Real, Goleta",NA,2015-03,2015-09
"Terraza Café_3007 De la Vina St, Santa Barbara",Terraza Café,"3007 De la Vina St, Santa Barbara",NA,2015-03,2017-02
"Sushi Cafe_28 W. Figueroa St, Santa Barbara",Sushi Cafe,"28 W. Figueroa St, Santa Barbara",NA,2015-03,NA
"East BeachTacos_226 S Milpas St, Santa Barbara",East BeachTacos,"226 S Milpas St, Santa Barbara",NA,2015-03,NA
"Live Oak Cafe_2220 Bath St, Santa Barbara",Live Oak Cafe,"2220 Bath St, Santa Barbara",NA,2015-03,NA
"416 State_416 State St, Santa Barbara",416 State,"416 State St, Santa Barbara",NA,2015-03,2016-01
"The Honor Bar_1255 Coast Village Rd, Montecito",The Honor Bar,"1255 Coast Village Rd, Montecito",NA,2015-02,NA
"Yume Sushi_428 Chapala St, Santa Barbara",Yume Sushi,"428 Chapala St, Santa Barbara",$10 - $20,2015-02,2019-10
"Cielo Bar and Grill_5096 Carpinteria Ave, Carpinteria",Cielo Bar and Grill,"5096 Carpinteria Ave, Carpinteria",NA,2015-02,2016-01
"La Mission Cafe - Airport Downstairs_500 Fowler Rd, Santa Barbara",La Mission Cafe - Airport Downstairs,"500 Fowler Rd, Santa Barbara",NA,2015-01,NA
"Lilac Patisserie_1017 State St, Santa Barbara",Lilac Patisserie,"1017 State St, Santa Barbara",NA,2015-01,NA
Santorini Island Grill_At the UCen on the UCSB Campus,Santorini Island Grill,At the UCen on the UCSB Campus,NA,2015-01,NA
"Pizza Hut_5915A Calle Real, Goleta",Pizza Hut,"5915A Calle Real, Goleta",NA,2014-12,NA
"Patxi’s Pizza_515 State St, Santa Barbara",Patxi’s Pizza,"515 State St, Santa Barbara",$10 - $20,2014-12,NA
"Kyle's Kitchen - Goleta_5723 Calle Real, Goleta",Kyle's Kitchen - Goleta,"5723 Calle Real, Goleta",NA,2014-12,NA
"Freeman's Flying Chicken_3400 Calle Real (Earl Warren), gate C",Freeman's Flying Chicken,"3400 Calle Real (Earl Warren), gate C",NA,2014-11,2015-11
"Deux Bakery_824 Reddick St, Santa Barbara",Deux Bakery,"824 Reddick St, Santa Barbara",NA,2014-11,NA
"Tino's Italian Grocery_210 West Carrillo St, Santa Barbara",Tino's Italian Grocery,"210 West Carrillo St, Santa Barbara",< $10,2014-11,NA
"Aladdin Café_938 Embarcadero del Norte, Isla Vista",Aladdin Café,"938 Embarcadero del Norte, Isla Vista",< $10,2014-10,NA
"Tri Tip Company_214 State St, Santa Barbara",Tri Tip Company,"214 State St, Santa Barbara",NA,2014-10,2014-11
"Los Agaves - Goleta_7024 Market Place Dr, Goleta",Los Agaves - Goleta,"7024 Market Place Dr, Goleta",NA,2014-10,NA
"Yellow Belly_2611 De La Vina St, Santa Barbara",Yellow Belly,"2611 De La Vina St, Santa Barbara",NA,2014-10,NA
"Barbareno_205 W. Canon Perdido St, Santa Barbara",Barbareno,"205 W. Canon Perdido St, Santa Barbara",$20+,2014-10,NA
"Rincon Brewery - Carpinteria_5065 Carpinteria Ave, Carpinteria",Rincon Brewery - Carpinteria,"5065 Carpinteria Ave, Carpinteria",NA,2014-10,NA
"The Outpost at The Goodland Hotel_5650 Calle Real, Goleta",The Outpost at The Goodland Hotel,"5650 Calle Real, Goleta",NA,2014-09,NA
"Taqueria El Pastorcito_2009 De la Vina St, Santa Barbara",Taqueria El Pastorcito,"2009 De la Vina St, Santa Barbara",NA,2014-09,2016-04
"Cafe 154_4151 Foothill Rd, Santa Barbara",Cafe 154,"4151 Foothill Rd, Santa Barbara",NA,2014-09,NA
"Boochies_113 W. De la Guerra St, Santa Barbara",Boochies,"113 W. De la Guerra St, Santa Barbara",NA,2014-08,2015-11
"Tacos El Rey_5 W. Haley St, Santa Barbara",Tacos El Rey,"5 W. Haley St, Santa Barbara",< $10,2014-08,2016-01
"Papa Johns Pizza_5756 Calle Real, Goleta",Papa Johns Pizza,"5756 Calle Real, Goleta",$10 - $20,2014-07,2017-08
"Mesa Verde_1919 Cliff Dr, Santa Barbara",Mesa Verde,"1919 Cliff Dr, Santa Barbara",NA,2014-07,NA
"Benchmark Eatery_1201 State St, Santa Barbara",Benchmark Eatery,"1201 State St, Santa Barbara",NA,2014-07,NA
"Himalayan Kitchen_431 State St, Santa Barbara",Himalayan Kitchen,"431 State St, Santa Barbara",$10 - $20,2014-06,NA
"Spudnuts - Isla Vista_6530 Seville Rd, Isla Vista",Spudnuts - Isla Vista,"6530 Seville Rd, Isla Vista",NA,2014-06,NA
"The Black Sheep_26 E. Ortega St, Santa Barbara",The Black Sheep,"26 E. Ortega St, Santa Barbara",NA,2014-05,NA
"Harolds Caribbean Kitchen_731 De la Guerra Plaza, Santa Barbara",Harolds Caribbean Kitchen,"731 De la Guerra Plaza, Santa Barbara",NA,2014-05,2014-06
"Jersey Mike's Subs - downtown_1213 State St, Santa Barbara",Jersey Mike's Subs - downtown,"1213 State St, Santa Barbara",NA,2014-05,2019-04
"Flagstone Pantry_38 W. Victoria St, Santa Barbara",Flagstone Pantry,"38 W. Victoria St, Santa Barbara",NA,2014-04,2018-08
"Belcampo Meat Co._38 W. Victoria St, Santa Barbara",Belcampo Meat Co.,"38 W. Victoria St, Santa Barbara",NA,2014-04,NA
"Green Star Coffee_38 W. Victoria St, Santa Barbara",Green Star Coffee,"38 W. Victoria St, Santa Barbara",NA,2014-04,2019-03
"Juice Well_38 W. Victoria St, Santa Barbara",Juice Well,"38 W. Victoria St, Santa Barbara",NA,2014-04,2015-06
"Santa Monica Seafood_38 W. Victoria St, Santa Barbara",Santa Monica Seafood,"38 W. Victoria St, Santa Barbara",NA,2014-04,2015-06
"Crazy Good Bread Co._38 W. Victoria St, Santa Barbara",Crazy Good Bread Co.,"38 W. Victoria St, Santa Barbara",NA,2014-04,2015-09
"Fire & Ice Museum Cafe_1130 State St, Santa Barbara",Fire & Ice Museum Cafe,"1130 State St, Santa Barbara",NA,2014-04,2018-01
"Beach Bowls_901 Linden Ave, Carpinteria",Beach Bowls,"901 Linden Ave, Carpinteria",NA,2014-04,2015-11
"Pasta Shoppe_38 W. Victoria St, Santa Barbara",Pasta Shoppe,"38 W. Victoria St, Santa Barbara",NA,2014-04,2015-06
"Rori's Artisanal Creamery_38 W. Victoria St, Santa Barbara",Rori's Artisanal Creamery,"38 W. Victoria St, Santa Barbara",NA,2014-04,NA
"Empty Bowl Gourmet Noodle Bar_38 W. Victoria St, Santa Barbara",Empty Bowl Gourmet Noodle Bar,"38 W. Victoria St, Santa Barbara",NA,2014-04,NA
"Lovin Oven Mediterranean Bakery & Cafe_6578 Trigo Rd, Isla Vista",Lovin Oven Mediterranean Bakery & Cafe,"6578 Trigo Rd, Isla Vista",NA,2014-04,2015-12
"Deli Express_7398 Calle Real, Goleta.",Deli Express,"7398 Calle Real, Goleta.",NA,2014-04,2014-12
"Ana's Taco Bar_505 State St, Santa Barbara",Ana's Taco Bar,"505 State St, Santa Barbara",< $10,2014-04,NA
"Enjoy Cupcakes_38 W. Victoria St, Santa Barbara",Enjoy Cupcakes,"38 W. Victoria St, Santa Barbara",NA,2014-04,NA
"Piano Riviera Lounge_129 E Anapamu St, Santa Barbara",Piano Riviera Lounge,"129 E Anapamu St, Santa Barbara",NA,2014-03,NA
"Olio Crudo Bar_11 W. Victoria St., Santa Barbara",Olio Crudo Bar,"11 W. Victoria St., Santa Barbara",NA,2014-03,NA
"Betos Subs_731 De La Guerra Plaza, Santa Barbara",Betos Subs,"731 De La Guerra Plaza, Santa Barbara",NA,2014-03,2014-03
"Blaze Pizza - Isla Vista_6546 Pardall Road, Isla Vista",Blaze Pizza - Isla Vista,"6546 Pardall Road, Isla Vista",NA,2014-03,NA
"Firehouse Subs_6530 Seville Rd, Isla Vista",Firehouse Subs,"6530 Seville Rd, Isla Vista",< $10,2014-03,2014-11
"Jimmy John's_909 Embarcadero del Mar, Isla Vista",Jimmy John's,"909 Embarcadero del Mar, Isla Vista",NA,2014-03,2016-04
"The Lovin Spoonful_2028 Cliff Dr, Santa Barbara",The Lovin Spoonful,"2028 Cliff Dr, Santa Barbara",NA,2014-02,NA
Neighbor Tim's BBQ_Food Truck,Neighbor Tim's BBQ,Food Truck,NA,2014-01,NA
"Barbarians Pizza_511 State St, Santa Barbara",Barbarians Pizza,"511 State St, Santa Barbara",NA,2014-01,2017-08
"Wok on the Wild Side_901 Embarcadero del Mar, Isla Vista",Wok on the Wild Side,"901 Embarcadero del Mar, Isla Vista",NA,2014-01,NA
"Buddha Bowls_901 Embarcadero del Mar, Isla Vista",Buddha Bowls,"901 Embarcadero del Mar, Isla Vista",< $10,2013-12,NA
"Lilly's Taqueria - Goleta_290 Storke Rd, Goleta",Lilly's Taqueria - Goleta,"290 Storke Rd, Goleta",NA,2013-12,NA
"Buddha Bowls_901 Embarcadero Del Mar, Isla Vista",Buddha Bowls,"901 Embarcadero Del Mar, Isla Vista",NA,2013-12,NA
"Magic Pita Cafe_5 W. Haley St, Santa Barbara",Magic Pita Cafe,"5 W. Haley St, Santa Barbara",< $10,2013-11,2014-04
"Paloma Restaurant and Tequila Bar_5764 Calle Real, Goleta",Paloma Restaurant and Tequila Bar,"5764 Calle Real, Goleta",NA,2013-11,2017-01
"Brothers Restaurant at Red Barn_3539 Sagunto St, Santa Ynez",Brothers Restaurant at Red Barn,"3539 Sagunto St, Santa Ynez",NA,2013-11,NA
"Red Sands Market and Deli_207 W. Anapamu St, Santa Barbara",Red Sands Market and Deli,"207 W. Anapamu St, Santa Barbara",NA,2013-11,NA
"Fresh Market_222 N. Milpas St, Santa Barbara",Fresh Market,"222 N. Milpas St, Santa Barbara",NA,2013-11,2015-03
"Blue Tavern_119 State St, Santa Barbara",Blue Tavern,"119 State St, Santa Barbara",NA,2013-11,2014-12
"Daily Grind - De la Vina_2912 De La Vina St, Santa Barbara",Daily Grind - De la Vina,"2912 De La Vina St, Santa Barbara",NA,2013-10,NA
"Tamira_1027 State St, Santa Barbara",Tamira,"1027 State St, Santa Barbara",< $10,2013-10,2020-01
"Smoke N Barrel BBQ Shack_6920 Marketplace Drive, Goleta",Smoke N Barrel BBQ Shack,"6920 Marketplace Drive, Goleta",< $10,2013-09,2014-04
"Sushi Tyme_819C State St, Santa Barbara",Sushi Tyme,"819C State St, Santa Barbara",NA,2013-09,NA
"The Lark_131 Anacapa St, Santa Barbara",The Lark,"131 Anacapa St, Santa Barbara",$20+,2013-08,NA
"McConnell's Fine Ice Creams - State St_728 State St, Santa Barbara",McConnell's Fine Ice Creams - State St,"728 State St, Santa Barbara",NA,2013-08,NA
"Lucky Penny_137 Anacapa St, Santa Barbara",Lucky Penny,"137 Anacapa St, Santa Barbara",NA,2013-08,NA
"Verde_532 State St, Santa Barbara",Verde,"532 State St, Santa Barbara",NA,2013-08,2013-12
"Miso Hungry_3613 State St, Santa Barbara",Miso Hungry,"3613 State St, Santa Barbara",< $10,2013-08,2017-10
"Mony's Mexican Restaurant_217 Anacapa St, Santa Barbara",Mony's Mexican Restaurant,"217 Anacapa St, Santa Barbara",< $10,2013-08,NA
"Killer Shrimp_416 State St, Santa Barbara",Killer Shrimp,"416 State St, Santa Barbara",$10 - $20,2013-07,2014-12
"Book Ends Cafe_602 Anacapa St, Santa Barbara",Book Ends Cafe,"602 Anacapa St, Santa Barbara",< $10,2013-07,2016-03
"Sorriso Italiano_901 Embarcadero del Mar, Isla Vista",Sorriso Italiano,"901 Embarcadero del Mar, Isla Vista",NA,2013-07,2018-05
"Little Caesars - Fairview_109 S. Fairview Ave, Goleta",Little Caesars - Fairview,"109 S. Fairview Ave, Goleta",< $10,2013-07,NA
"Tapatia #3_5764 Hollister Ave, Goleta",Tapatia #3,"5764 Hollister Ave, Goleta",< $10,2013-06,NA
"Los Agaves - De La Vina_2911 De La Vina St, Santa Barbara",Los Agaves - De La Vina,"2911 De La Vina St, Santa Barbara",$10 - $20,2013-06,NA
"Casa Don Roge_4928 Carpinteria Ave, Carpinteria",Casa Don Roge,"4928 Carpinteria Ave, Carpinteria",NA,2013-06,NA
"Little Caesars - Carpinteria_1048 Casitas Pass Rd, Carpinteria",Little Caesars - Carpinteria,"1048 Casitas Pass Rd, Carpinteria",< $10,2013-05,NA
"American Ale_14 East Cota St, Santa Barbara",American Ale,"14 East Cota St, Santa Barbara",$10 - $20,2013-05,2017-01
"Panera Bread - Downtown_700 State St, Santa Barbara",Panera Bread - Downtown,"700 State St, Santa Barbara",< $10,2013-05,2015-07
"Brasil Arts Cafe_1230C State St, Santa Barbara",Brasil Arts Cafe,"1230C State St, Santa Barbara",NA,2013-04,NA
"Toma Restaurant and Bar_324 W. Cabrillo Blvd, Santa Barbara",Toma Restaurant and Bar,"324 W. Cabrillo Blvd, Santa Barbara",$10 - $20,2013-04,NA
"Open_4141 State St, Santa Barbara",Open,"4141 State St, Santa Barbara",NA,2013-04,NA
"SY Kitchen_1110 Faraday St, Santa Ynez",SY Kitchen,"1110 Faraday St, Santa Ynez",$20+,2013-04,NA
"Finch and Fork_31 W Carrillo St, Santa Barbara",Finch and Fork,"31 W Carrillo St, Santa Barbara",$20+,2013-04,NA
Georgia’s Smokehouse_Mobile - see web site for locations,Georgia’s Smokehouse,Mobile - see web site for locations,< $10,2013-03,2016-09
"Seven Bar & Kitchen_224 Helena St, Santa Barbara",Seven Bar & Kitchen,"224 Helena St, Santa Barbara",NA,2013-03,NA
"Hoffmann Brat Haus_801 State St, Santa Barbara",Hoffmann Brat Haus,"801 State St, Santa Barbara",< $10,2013-03,2019-08
"Sama Sama Kitchen_1208 State St, Santa Barbara",Sama Sama Kitchen,"1208 State St, Santa Barbara",NA,2013-03,NA
"El Encanto_800 Alvarado Place, Santa Barbara",El Encanto,"800 Alvarado Place, Santa Barbara",$20+,2013-03,NA
"Yogurtland - Goleta_5880 Calle Real, Goleta",Yogurtland - Goleta,"5880 Calle Real, Goleta",NA,2013-03,NA
"Kaptain's Firehouse BBQ_6545 Pardall Road, Isla Vista",Kaptain's Firehouse BBQ,"6545 Pardall Road, Isla Vista",< $10,2013-02,2017-12
"Persona Neapolitan Pizzeria_905 State St, Santa Barbara",Persona Neapolitan Pizzeria,"905 State St, Santa Barbara",< $10,2013-02,NA
"Chick-fil-A_3707 State St, Santa Barbara",Chick-fil-A,"3707 State St, Santa Barbara",< $10,2013-02,NA
"Sage & Onion Cafe_5599 Hollister Ave, Goleta",Sage & Onion Cafe,"5599 Hollister Ave, Goleta",$10 - $20,2013-01,2017-07
"The Bourbon Room_4444 Hollister Ave, Goleta",The Bourbon Room,"4444 Hollister Ave, Goleta",NA,2013-01,2016-01
"Anchor Woodfire Kitchen_119 State St, Santa Barbara",Anchor Woodfire Kitchen,"119 State St, Santa Barbara",NA,2013-01,2013-09
"Cinco Estrellas_316 N. Milpas St (in the back), Santa Barbara",Cinco Estrellas,"316 N. Milpas St (in the back), Santa Barbara",< $10,2013-01,2013-07
Sam Choy’s Pineapple Express_Mobile - see web site for locations,Sam Choy’s Pineapple Express,Mobile - see web site for locations,NA,2013-01,NA
"iGrill Korean BBQ_3132 State St, Santa Barbara",iGrill Korean BBQ,"3132 State St, Santa Barbara",NA,2012-12,2015-10
"The Shop Cafe_730 N. Milpas St, Santa Barbara",The Shop Cafe,"730 N. Milpas St, Santa Barbara",< $10,2012-12,NA
"XO_5599 Hollister Ave, Goleta",XO,"5599 Hollister Ave, Goleta",NA,2012-12,2018-01
"Rori’s Artisanal Creamery_1024 Coast Village Rd, Montecito",Rori’s Artisanal Creamery,"1024 Coast Village Rd, Montecito",NA,2012-12,NA
"Little Cantina_14 E. Cota St, Santa Barbara",Little Cantina,"14 E. Cota St, Santa Barbara",NA,2012-11,2012-12
"Pickles and Swiss_811 State St, Santa Barbara",Pickles and Swiss,"811 State St, Santa Barbara",NA,2012-10,NA
"Itsuki Restaurant_7127 Hollister Ave, Goleta",Itsuki Restaurant,"7127 Hollister Ave, Goleta",$10 - $20,2012-10,NA
"The French Table_129 E. Anapamu St, Santa Barbara",The French Table,"129 E. Anapamu St, Santa Barbara",$10 - $20,2012-10,2014-03
"Pizza My Heart_6533 Trigo Rd, Isla Vista",Pizza My Heart,"6533 Trigo Rd, Isla Vista",$20+,2012-10,NA
"Relais de Paris_734 State St, Santa Barbara",Relais de Paris,"734 State St, Santa Barbara",NA,2012-10,2016-09
"The Habit - Isla Vista_888 Embarcadero del Norte, Isla Vista",The Habit - Isla Vista,"888 Embarcadero del Norte, Isla Vista",< $10,2012-10,NA
"Angry Wings_6530 Pardall Rd, Isla Vista",Angry Wings,"6530 Pardall Rd, Isla Vista",< $10,2012-10,2014-11
"Ca Dario Pizzeria_29 E. Victoria St, Santa Barbara",Ca Dario Pizzeria,"29 E. Victoria St, Santa Barbara",$10 - $20,2012-10,2019-10
"Hana Kitchen - Isla Vista_6558 Pardall Rd, Isla Vista",Hana Kitchen - Isla Vista,"6558 Pardall Rd, Isla Vista",< $10,2012-10,NA
"Good Cup - State_918 State St, Santa Barbara",Good Cup - State,"918 State St, Santa Barbara",NA,2012-10,NA
"French Press - Anacapa St_528 Anacapa St, Santa Barbara",French Press - Anacapa St,"528 Anacapa St, Santa Barbara",NA,2012-10,NA
"Crushcakes & Cafe - Isla Vista_6533 Trigo Rd, Isla Vista",Crushcakes & Cafe - Isla Vista,"6533 Trigo Rd, Isla Vista",NA,2012-09,2015-08
"Eureka Burger_601 Paseo Nuevo, Santa Barbara",Eureka Burger,"601 Paseo Nuevo, Santa Barbara",$10 - $20,2012-09,NA
"State & Fig_1114 State St, Santa Barbara",State & Fig,"1114 State St, Santa Barbara",NA,2012-09,NA
"Rosales_827 E. Montecito St, Santa Barbara",Rosales,"827 E. Montecito St, Santa Barbara",< $10,2012-08,NA
"Maggies_1201 State St, Santa Barbara",Maggies,"1201 State St, Santa Barbara",$20+,2012-08,2013-10
"Nikka Fish Grill_5722 Calle Real, Goleta",Nikka Fish Grill,"5722 Calle Real, Goleta",NA,2012-07,NA
"Snack Shack_801 State St, Santa Barbara",Snack Shack,"801 State St, Santa Barbara",< $10,2012-07,2012-09
"Open Cup_728 State St, Santa Barbara",Open Cup,"728 State St, Santa Barbara",NA,2012-07,2012-12
"Hidden Dolphin Cafe_217 Anacapa St, Santa Barbara",Hidden Dolphin Cafe,"217 Anacapa St, Santa Barbara",< $10,2012-06,2013-08
"Cafe Blu_506 State St, Santa Barbara",Cafe Blu,"506 State St, Santa Barbara",< $10,2012-06,2012-10
"Fresh & Easy Market - Milpas_336 N Milpas St, Santa Barbara",Fresh & Easy Market - Milpas,"336 N Milpas St, Santa Barbara",NA,2012-06,2015-10
"On The Alley_117 Harbor Way, Santa Barbara",On The Alley,"117 Harbor Way, Santa Barbara",< $10,2012-05,NA
"Blue Owl_5 W. Canon Perdido St, Santa Barbara",Blue Owl,"5 W. Canon Perdido St, Santa Barbara",NA,2012-05,NA
"Chipotle - La Cumbre Plaza_3851 State St, Santa Barbara",Chipotle - La Cumbre Plaza,"3851 State St, Santa Barbara",< $10,2012-04,NA
"Sides Hardware and Shoes_2375 Alamo Pintado, Los Olivos",Sides Hardware and Shoes,"2375 Alamo Pintado, Los Olivos",$10 - $20,2012-04,NA
Arlington Tavern_21 W. Victoria St,Arlington Tavern,21 W. Victoria St,$20+,2012-04,2015-05
"Lucky Llama Coffee_5100 Carpinteria Ave, Carpinteria",Lucky Llama Coffee,"5100 Carpinteria Ave, Carpinteria",NA,2012-04,NA
"Presto Pasta - De la Vina_2830 De La Vina St, Santa Barbara",Presto Pasta - De la Vina,"2830 De La Vina St, Santa Barbara",NA,2012-03,NA
"La Arcada Bistro_1112 State St, Santa Barbara",La Arcada Bistro,"1112 State St, Santa Barbara",$10 - $20,2012-03,2018-03
"Panera Bread - Upper State_3851 State St, Santa Barbara",Panera Bread - Upper State,"3851 State St, Santa Barbara",< $10,2012-03,NA
"Jersey Mike's Subs - Goleta_7034 Marketplace Dr, Goleta",Jersey Mike's Subs - Goleta,"7034 Marketplace Dr, Goleta",< $10,2012-03,NA
"Nardonnes La Famiglia Pizzeria_17 W. Ortega St, Santa Barbara",Nardonnes La Famiglia Pizzeria,"17 W. Ortega St, Santa Barbara",$10 - $20,2012-03,2015-05
Wahoo's Fish Taco - UCSB_At the UCen on the UCSB Campus,Wahoo's Fish Taco - UCSB,At the UCen on the UCSB Campus,< $10,2012-02,NA
"Cuernavaca Taqueria_201 W Carrillo St, Santa Barbara",Cuernavaca Taqueria,"201 W Carrillo St, Santa Barbara",< $10,2012-02,NA
"Pace_413 State St, Santa Barbara",Pace,"413 State St, Santa Barbara",NA,2012-02,2014-11
"The Pan_18 E. Cota St, Santa Barbara",The Pan,"18 E. Cota St, Santa Barbara",$10 - $20,2012-02,2014-01
"Starbucks - Carrillo_208 W. Carrillo St, Santa Barbara",Starbucks - Carrillo,"208 W. Carrillo St, Santa Barbara",NA,2012-02,NA
"Cielito_1114 State St, Santa Barbara",Cielito,"1114 State St, Santa Barbara",$10 - $20,2012-01,2016-07
