Name,Address,Price,Died
Seattle's Best - Borders in Goleta,"7000 Camino Real Marketplace, Goleta",,2011-05
Timbers,"10 Winchester Canyon Rd, Goleta",< $10,2011-05
Tepeyac Taquitos,"201 W Carrillo St, Santa Barbara",< $10,2011-05
Square One,"14 E. Cota St, Santa Barbara",$10 - $20,2011-04
State & A Bar and Grill,"1201 State St, Santa Barbara",< $10,2011-04
Juan & Jeffe's,"402 N. Milpas, Santa Barbara",,2011-04
Whodidily,"811 State St, Santa Barbara",,2011-04
Cafe Buenos Aires,"1316 State St, Santa Barbara",$10 - $20,2011-03
Zia Cafe,"532 State St, Santa Barbara",$10 - $20,2011-03
The Taj Cafe,"905 State St, Santa Barbara",$10 - $20,2011-02
Billies,"413 State St, Santa Barbara",< $10,2011-02
Rileys Coffee,"1106 Chapala St, Santa Barbara",,2011-02
Live Culture,"11 W. De la Guerra St, Santa Barbara",,2011-02
Ocean Meadows Golf Course Grill,"6925 Whittier Dr, Goleta",< $10,2011-01
Patrick's Side Street Cafe,"2375 Alamo Pintado, Los Olivos",$10 - $20,2011-01
Seattle's Best - Borders on State St,"900 State St, Santa Barbara",,2011-01
Cliff's & Co.,"1919 Cliff Dr, Santa Barbara",< $10,2011-01
Roasted Bean Coffee House,"3558 Sagunto St, Santa Ynez",< $10,2011-01
Carvel,"147 N. Fairview Ave, Goleta",,2011-01
Chino's Rock & Tacos,"714 State St, Santa Barbara",< $10,2010-12
Subway - 119 State,"119 State St, Santa Barbara",< $10,2010-12
Starbucks - Barnes & Noble,"829 State St, Santa Barbara",,2010-12
Miss Saigon Grill and Lounge,"424 State St, Santa Barbara",$10 - $20,2010-12
Kozmo's,"718 State St, Santa Barbara",< $10,2010-11
Dirty's,"6521 Pardall Rd, Isla Vista",< $10,2010-11
Pick Up Stix,"5701 Calle Real, Goleta",< $10,2010-11
Laguna Store & Deli,"512 Laguna St, Santa Barbara",< $10,2010-11
Bella Dolce Bakery,"113 W. De la Guerra St, Santa Barbara",,2010-10
Luigi's Pizza & Pasta,"5711 Calle Real, Goleta",< $10,2010-10
Chamomile Cafe,"915 Linden Ave, Carpinteria",$10 - $20,2010-09
Lam's Vietnamese BBQ and Sandwiches,"424 State St, Santa Barbara",$10 - $20,2010-09
China Express,"414 N. Milpas St, Santa Barbara",< $10,2010-09
On The Side,"6521 Pardall Rd, Isla Vista",< $10,2010-09
Korean BBQ House,"956 Embarcadero Del Norte, Isla Vista",< $10,2010-08
Sushilicious,"956 Embarcadero Del Norte, Isla Vista",< $10,2010-08
The Cheese Shop,"811 State St, Santa Barbara",,2010-08
Las Conchas,"432 E. Haley St, Santa Barbara",< $10,2010-08
Cantwell's Cafe & Deli,"24 W. Figueroa St, Santa Barbara",,2010-08
Pizza Hut,"2840 De La Vina St, Santa Barbara",$10 - $20,2010-07
Java Jones - Isla Vista,"6560 Pardall Rd, Isla Vista",,2010-07
California Pasta,"3979 State St, Santa Barbara",$10 - $20,2010-06
La Gloria Taqueria,"336 N. Milpas St, Santa Barbara",< $10,2010-06
Bay Cafe,"131 Anacapa St, Santa Barbara",$10 - $20,2010-05
China City Restaurant,"5688 Calle Real, Goleta",< $10,2010-05
Northstar Coffee Company,"918 State St, Santa Barbara",,2010-05
Mojo Coffee,"7127 Hollister Ave, Goleta",< $10,2010-05
Presto Pasta,"5764 Calle Real, Goleta",< $10,2010-05
Saigon - 424 State,"424 State St, Santa Barbara",$10 - $20,2010-05
Quizno's - Calle Real,"5723 Calle Real, Goleta",< $10,2010-04
Chilango's Mexican Restaurant,"503 State St, Santa Barbara",< $10,2010-04
Encina Cafe & Cocktails,"2220 Bath St, Santa Barbara",$10 - $20,2010-04
California Crisp,"718 State St, Santa Barbara",< $10,2010-04
Hotcookie.com,"2018 Cliff Dr, Santa Barbara",,2010-04
Creekside Grill,"4444 Hollister Ave, Goleta",< $10,2010-03
Chef Karim's Moroccan Restaurant,"1221 State St, Santa Barbara",$20+,2010-03
Caje,"1007 Casitas Pass Rd, Carpinteria",,2010-03
Fosters Freeze,"1924 Cliff Dr, Santa Barbara",< $10,2010-03
Tuttini,"10 E. Carrillo St, Santa Barbara",< $10,2010-02
Downtown Brewing Co.,"3744 State St, Santa Barbara",< $10,2010-02
Cities Barbecue,"901 N. Milpas St, Santa Barbara",$10 - $20,2010-02
Epiphany Restaurant & Bar,"21 W. Victoria St, Santa Barbara",$20+,2010-02
Dean-o's Pizzarama,"1950 Cliff Dr, Santa Barbara",$10 - $20,2010-01
"Farmers Market - Thursday (Goleta, Calle Real)","5700 Calle Real, Goleta",,2010-01
Ruby's Cafe & Spirits Lounge,"734 State St, Santa Barbara",< $10,2010-01
La Chiripita Taqueria,"730 N. Milpas St, Santa Barbara",< $10,2010-01
Fresh Start,"6558 Pardall Rd, Isla Vista",< $10,2010-01
Melting Pot,"608 Anacapa St, Santa Barbara",,2010-01
Lettuce B. Frank,"413 State St, Santa Barbara",< $10,2009-12
The Porch,"2621 W. Highway 154, Los Olivos",$10 - $20,2009-12
Red Mango - Five Points,"3967 State St, Santa Barbara",,2009-12
Left At Albuquerque,"700 State St, Santa Barbara",$10 - $20,2009-12
Grapevine Fine Food Market,"126 E. Canon Perdido St, Santa Barbara",,2009-12
Einstein Bros Bagels,"7127 Hollister Ave, Goleta",,2009-11
China Pavilion - Montecito,"1070 Coast Village Rd, Montecito",$10 - $20,2009-10
Jake's Cafe,"2911 De La Vina St, Santa Barbara",< $10,2009-10
Boris Cake Bakery,"423 N. Milpas St, Santa Barbara",,2009-09
Java Jones - State & De La Guerra,"728 State St, Santa Barbara",,2009-09
Vons Bakery - Downtown,"34 W. Victoria St, Santa Barbara",,2009-08
Vons - Downtown,"34 W. Victoria St, Santa Barbara",,2009-08
Fortune Garden,"5915 Calle Real, Goleta",$10 - $20,2009-08
Cafe Bianco,"11 W. Victoria St, Santa Barbara",< $10,2009-07
McConnell's Fine Ice Creams - Goleta,"7034 Camino Real Marketplace, Goleta",,2009-07
Yoli's Mexican Restaurant,"5877 Hollister Ave, Goleta",< $10,2009-07
Hummingbird Cafe,"1101 State St, Santa Barbara",< $10,2009-06
Tacone,"213 Paseo Nuevo, Santa Barbara",< $10,2009-05
CaliRoll Express,"887 Embarcadero del Norte, Isla Vista",< $10,2009-05
Berrilicious,"956 Embarcadero Del Norte, Isla Vista",< $10,2009-05
Stateside Restaurant & Lounge,"1114 State St, Santa Barbara",$10 - $20,2009-05
Big Tom's Backyard BBQ,"3687 Sagunto St, Santa Ynez",< $10,2009-05
Kona Ranch House,"5685 Calle Real, Goleta",$20+,2009-03
Restaurant Marcella,"2860 Grand Ave, Los Olivos",$20+,2009-03
Santa Barbara Roasting Co. - Paseo Nuevo,"670 Paseo Nuevo, Santa Barbara",,2009-03
International Deli & Market,"4422 Hollister Ave, Goleta",< $10,2009-03
Sushi 7,"1026-A Coast Village Rd, Montecito",$10 - $20,2009-03
Pavilion Garden,"414 N. Milpas St, Santa Barbara",$10 - $20,2009-02
Intermezzo,"813 Anacapa St, Santa Barbara",$10 - $20,2009-02
Bougainvillea,"202 State St, Santa Barbara",$10 - $20,2009-02
JR's BBQ at Creekside,"4444 Hollister Ave, Goleta",$10 - $20,2009-01
Machine Gun Deli,"606 W. Mission St, Santa Barbara",< $10,2009-01
Mr. Pickles Sandwich Shop,"6545 Pardall Rd, Isla Visa",< $10,2009-01
Q's Billiards,"409 State St, Santa Barbara",$10 - $20,2009-01
Saffron,"113 W. De La Guerra St, Santa Barbara",$10 - $20,2009-01
Sweet Alley,"1103A State St, Santa Barbara",,2008-12
Fat Burger,"718 State St, Santa Barbara",< $10,2008-12
Matador,"714 State St, Santa Barbara",$10 - $20,2008-12
Bricks Cafe,"509 State St, Santa Barbara",$10 - $20,2008-11
Sesto Senso Ristorante,"1026 Coast Village Rd, Montecito",$10 - $20,2008-11
Eclectic I.V.,"6530 Pardall Rd, Isla Vista",< $10,2008-10
Dish Cafe,"5722 Calle Real, Goleta",< $10,2008-10
Scotch Bonnet,"428 Chapala St, Santa Barbara",$20+,2008-09
Carrows,"210 W. Carrillo St, Santa Barbara",< $10,2008-09
Fresh Wok,"6578 Trigo Rd, Isla Vista",< $10,2008-09
Piranha Restaurant & Sushi Bar,"801 State St, Santa Barbara",$10 - $20,2008-09
Ruby's Diner,"601 Paseo Nuevo, Santa Barbara",< $10,2008-09
Tsunami,"1014 Coast Village Rd, Montecito",$10 - $20,2008-08
Java Jon's,"8 S. Milpas St, Santa Barbara",,2008-08
Coffee Bean - State & Victoria,"1226 State St, Santa Barbara",,2008-08
Pita Inn,"3807 Santa Claus Ln, Carpinteria",< $10,2008-08
Quantum Kitchen & Cocktails,"201 W. Carrillo St, Santa Barbara",$10 - $20,2008-07
Finestra Caffe,"15 E. Figueroa St, Santa Barbara",,2008-07
Smokin Jacks Kansas City BBQ,"3807 Santa Claus Ln, Carpinteria",$10 - $20,2008-07
Chad's,"625 Chapala St, Santa Barbara",$20+,2008-07
Gelateria Gioia,"1150 Coast Village Rd, Montecito",,2008-06
Java Jones - State & Figueroa,"1101 State St, Santa Barbara",,2008-06
Volare Ristorante,"1095 Edison St, Santa Ynez",$20+,2008-06
Rincon Sub,"1108 Casitas Pass Rd, Carpinteria",< $10,2008-06
Zaffiro,"6920 Camino Real Marketplace, Goleta",$10 - $20,2008-06
Volare Deli,"1095 Edison St, Santa Ynez",< $10,2008-06
Fresco Museum Cafe,"1130 State St, Santa Barbara",< $10,2008-05
Chili Town,"730 N. Milpas St, Santa Barbara",< $10,2008-05
Thrifty Ice Cream/Rite Aid - Carp,"1012 Casitas Pass Rd, Carpinteria",,2008-05
Sevilla,"428 Chapala St, Santa Barbara",$20+,2008-05
El Caballo,"3130 State St, Santa Barbara",< $10,2008-05
Giovanni's - Goleta,"5940 Calle Real, Goleta",$10 - $20,2008-04
Mesa Thai Cuisine,"1819 Cliff Dr, Santa Barbara",< $10,2008-04
A Capella Restaurant,"2220 Bath St, Santa Barbara",$10 - $20,2008-03
Isla Vista Bakery Cafe,"6558 Pardall Rd, Isla Vista",,2008-03
Baskin Robbins,"1005 Casitas Pass Rd, Carpinteria",,2008-03
Saigon Express,"6549 Pardall Rd, Isla Vista",< $10,2008-03
Le Bon Cafe,"138 E. Canon Perdido St, Santa Barbara",$10 - $20,2008-02
Baskin Robbins,"1016 Coast Village Rd, Montecito",,2008-02
Zelo Restaurant,"630 State St, Santa Barbara",$10 - $20,2008-02
Rocks,"801 State St, Santa Barbara",$10 - $20,2008-02
Fresco at the Beach,"901 E. Cabrillo Blvd, Santa Barbara",$20+,2008-01
Thrifty Ice Cream/Rite Aid - Univ Plaza,"7127 Hollister Ave, Goleta",,2008-01
Kampai,"4141 State St, Santa Barbara",< $10,2008-01
Pierre Lafond,"11 W. De La Guerra St, Santa Barbara",< $10,2007-12
Jamba Juice,"742 State St, Santa Barbara",,2007-12
Sage & Onion,"30 E. Ortega St, Santa Barbara",$20+,2007-12
Brown Pelican,"2981 Cliff Dr, Santa Barbara",$20+,2007-11
La Tolteca Restaurant,"600 N. Milpas St, Santa Barbara",< $10,2007-10
31 West,"31 W. Carrillo St, Santa Barbara",$20+,2007-10
Asian Cafe,"5869 Hollister Ave, Goleta",,2007-10
Paterno,At the UCen on the UCSB Campus,< $10,2007-09
El Cazador,"731 De la Guerra Plaza, Santa Barbara",$20+,2007-09
Lilia's,"5746 Hollister Ave, Goleta",< $10,2007-09
Tiramisu,"12 W. De La Guerra, Santa Barbara",$10 - $20,2007-09
Cajun Kitchen - Milpas,"217 N. Milpas St, Santa Barbara",< $10,2007-09
The Zone Sports Grille,"686 Linden Ave, Carpinteria",< $10,2007-09
Couchez,"214 State St, Santa Barbara",$20+,2007-08
Isla Vista Spot,"6521 Pardall Rd, Isla Vista",$10 - $20,2007-08
New York Buffalo Wings,"910 Embarcadero Del Norte, Isla Vista",< $10,2007-08
Wine Cask - Los Olivos,"2860 Grand Ave, Los Olivos",$20+,2007-08
Cafe La Luz,"1436 Chapala St, Santa Barbara",< $10,2007-07
Coffee Grinder,"910 Linden Ave, Carpinteria",,2007-06
Restaurant Nu,"1129 State St, Santa Barbara",$10 - $20,2007-05
Summerland Market,"2580 Lillie Ave, Summerland",< $10,2007-05
Bogart's Cafe,"1114 State St, Santa Barbara",$10 - $20,2007-05
Jerusalem Garden Cafe,"910 Embarcadero del Norte, Isla Vista",< $10,2007-05
Italian & Greek Market,"636 State St, Santa Barbara",< $10,2007-04
Italian Bakery - Upper State,"3315 State St, Santa Barbara",< $10,2007-04
El Jirasol Subs,"1108 Casitas Pass Rd, Carpinteria",< $10,2007-04
Cuzcatlan Salvadorian Cuisine,"2911 De La Vina St, Santa Barbara",< $10,2007-03
Red Robin,"3825 State St, Santa Barbara",,2007-02
Buddy's Pretzels & Dogs,"963 Linden Ave, Carpinteria",< $10,2007-02
Los Tacos Restaurant,"435 N. Milpas St, Santa Barbara",< $10,2007-02
Taiko,"511 State St, Santa Barbara",$10 - $20,2007-01
Deli House,"666 Linden Ave, Carpinteria",< $10,2007-01
Julian's Mexican Cafe,"421 N. Milpas St, Santa Barbara",< $10,2007-01
La Marina at the Biltmore Hotel,"1260 Channel Dr, Montecito",$20+,2006
Citronelle,"901 E. Cabrillo Blvd, Santa Barbara",$20+,2006
Acapulco,"1114 State St, Santa Barbara",$10 - $20,2006
Casa Blanca Restaurante,"509 State St, Santa Barbara",,2006
Camino Real Cafe,"6980 Camino Real Marketplace, Goleta",$10 - $20,2006
Pavlako's Eatery,"217 N. Milpas St, Santa Barbara",,2006
Big Yellow House,"108 Pierpont Rd, Summerland",$10 - $20,2006
Zal's Museum Cafe,"1130 State St, Santa Barbara",< $10,2006
Sandman Bar & Grill,"3744 State St, Santa Barbara",,2006
Sushi Teri - Upper State St,"3905 State St, Santa Barbara",< $10,2006
French Bulldog Cafe,"2354 Lillie Ave, Summerland",< $10,2006
La Salsa,"1131 State St, Santa Barbara",< $10,2006
Pascuals Restaurant,"30 E. Victoria St, Santa Barbara",< $10,2006
Paoli's,"202 State St, Santa Barbara",$10 - $20,2006
Gisella's Trattoria,"1311 State St, Santa Barbara",,2006
Jimmy's Oriental Gardens,"126 E. Canon Perdido St, Santa Barbara",< $10,2006
Kashima Japanese Restaurant,"5744 Hollister Ave, Goleta",,2006
Dish,"138 E. Canon Perdido St, Santa Barbara",$20+,2006
Don Pepe's Restaurant,"701 Chapala St, Santa Barbara",< $10,2006
Storke Road Drive Inn,"370 Storke Rd, Goleta",< $10,2006
Bellyboards,"5687 Calle Real, Goleta",< $10,2006
L'ombretta,"1134 Chapala St, Santa Barbara",$10 - $20,2006
Zeno Manue,"411 State St, Santa Barbara",,2006
El Mariachi,"431 State St, Santa Barbara",,2006
Cafe Siena,"1101 State St, Santa Barbara",,2006
Boba Tea House,"966 Embarcadero Del mar, Isla Vista",< $10,2006
Cafe Sonrisas,"5392 Hollister Ave, Goleta",< $10,2006
Menehunes Bar & Grill,"6549 Pardall Rd, Isla Vista",< $10,2006
Blue Dolphin Cafe,"910 Embarcadero Del Norte, Isla Vista",,2006
China Garden,"6530 Pardall Rd, Isla Vista",< $10,2006
DogHouse,"730 N. Milpas St, Santa Barbara",< $10,2006
Eclectico,"30 W. Anapamu St, Santa Barbara",$10 - $20,2006
Sushi Teri - Isla Vista,"909 Embarcadero Del Mar, Isla Visa",< $10,2006
Zaffron,"4444 Hollister Ave, Goleta",,2005
Gordo's Italian Pizza,"5838 Hollister Ave, Goleta",,2005
Kava Lounge,"508 E. Haley St, Santa Barbara",< $10,2005
Granada Grill,"1212 State St, Santa Barbara",$10 - $20,2005
Baba's Falafels,At the UCen on the UCSB Campus,< $10,2005
Marcello Ristorante,"1218 State St, Santa Barbara",,2005
City Kitchen,"901 N. Milpas St, Santa Barbara",,2005
Good Earth Restaurant,"5955 Calle Real, Goleta",$10 - $20,2005
Mexican Grill,"730 N. Milpas St, Santa Barbara",,2005
Santa Barbara Cheesecake,"1915 De La Vina St, Santa Barbara",,2005
Blue Collar Bistro,"233 W. Montecito St, Santa Barbara",< $10,2005
Golden China,"3130 State St, Santa Barbara",< $10,2005
El Taco Amigo,"6580 Pardall Rd, Isla Vista",< $10,2005
Las Brisas Mexican Seafood Grill,"414 N. Milpas St, Santa Barbara",,2005
TJ's Grill,"955 Embarcadero Del Mar, Isla Vista",,2005
Mrs. Fields Cookies,"140 S. Hope Ave, Santa Barbara",< $10,2005
Santa Barbara Sandwich Company,"1226 State St, Santa Barbara",,2005
Kung Pao Kitchen,"6530 Pardall Rd, Isla Vista",,2005
Cafe Delight,"4141 State St, Santa Barbara",< $10,2005
Little Alex's,"3534 State St, Santa Barbara",< $10,2005
Ma Dolce Vita,"700 State St, Santa Barbara",,2005
Carrows - Goleta,"5677 Calle Real, Goleta",< $10,2005
Kafana,"11 W. Victoria St, Santa Barbara",,2005
Los Arcos,"12 W. De La Guerra St, Santa Barbara",,2005
Azuma Japanese Restaurant,"24 W. Figueroa St, Santa Barbara",$10 - $20,2005
Juanitos Mexican Food,"5746 Hollister Ave, Goleta",,2005
